"ID","EMAIL_HASH","C","VALUE","CASE_STATUS"
3202517,"+/wenqqXPJeaCGgs2dPlcA==",2,"Unassigned","Not updated"
3202570,"+/wenqqXPJeaCGgs2dPlcA==",2,"Closed","Updated"
3202072,"+4ru0Lpb5iFMJVO6bdvTfw==",2,"Closed","Updated"
3202079,"+4ru0Lpb5iFMJVO6bdvTfw==",2,"Closed","Updated"
3203998,"+CD6VhcQsYbSE9SX1Mf1nw==",2,"Closed","Updated"
3204126,"+CD6VhcQsYbSE9SX1Mf1nw==",2,"Closed","Updated"
3200311,"+F7KnupDsvIsVIrbKAmoNA==",2,"Closed","Updated"
3200337,"+F7KnupDsvIsVIrbKAmoNA==",2,"Closed","Updated"
3203101,"+Gnjn5kQUNWepyGYPLk4qQ==",2,"Closed","Updated"
3203105,"+Gnjn5kQUNWepyGYPLk4qQ==",2,"Closed","Updated"
3194557,"+JGgEK6ZRjygETUEH6nI3Q==",2,"Unassigned","Not updated"
3194564,"+JGgEK6ZRjygETUEH6nI3Q==",2,"Unassigned","Not updated"
3201624,"+KeEFKiHkQA3xpLt9jbjVA==",2,"Closed","Updated"
3201629,"+KeEFKiHkQA3xpLt9jbjVA==",2,"Closed","Updated"
3201120,"+MMqsug9KfN/pV8ZWhbFpw==",2,"Closed","Updated"
3201200,"+MMqsug9KfN/pV8ZWhbFpw==",2,"Closed","Updated"
3196800,"+SaSdV5vDD5NfaUEM1X6WQ==",6,"Closed","Updated"
3197183,"+SaSdV5vDD5NfaUEM1X6WQ==",6,"Closed","Updated"
3197307,"+SaSdV5vDD5NfaUEM1X6WQ==",6,"Closed","Updated"
3197425,"+SaSdV5vDD5NfaUEM1X6WQ==",6,"Closed","Updated"
3197459,"+SaSdV5vDD5NfaUEM1X6WQ==",6,"Closed","Updated"
3197489,"+SaSdV5vDD5NfaUEM1X6WQ==",6,"Closed","Updated"
3199852,"+UkNOe0Pw8V9LIHmFtKYQQ==",2,"Closed","Updated"
3199883,"+UkNOe0Pw8V9LIHmFtKYQQ==",2,"Closed","Updated"
3201923,"+fZqB2/kNpj5F7OYn4FV6g==",2,"Closed","Updated"
3201934,"+fZqB2/kNpj5F7OYn4FV6g==",2,"Closed","Updated"
3202005,"+j5qY0cYw1uW2Tt9pweZkA==",3,"Closed","Updated"
3202031,"+j5qY0cYw1uW2Tt9pweZkA==",3,"Closed","Updated"
3202138,"+j5qY0cYw1uW2Tt9pweZkA==",3,"Closed","Updated"
3201857,"+pO4gwXN0Zxf2hkX3xhZVg==",2,"Unassigned","Not updated"
3201869,"+pO4gwXN0Zxf2hkX3xhZVg==",2,"Unassigned","Not updated"
3196226,"+uvoecaNdNNNIVZUgJy8mQ==",2,"Closed","Updated"
3196318,"+uvoecaNdNNNIVZUgJy8mQ==",2,"Closed","Updated"
3202496,"/0/4KJRKgHYv8fgLjU2yOg==",3,"Unassigned","Not updated"
3202572,"/0/4KJRKgHYv8fgLjU2yOg==",3,"Unassigned","Not updated"
3202713,"/0/4KJRKgHYv8fgLjU2yOg==",3,"Unassigned","Not updated"
3202715,"/1kHUhMPRGA/kjan+xtwGQ==",2,"Closed","Updated"
3202723,"/1kHUhMPRGA/kjan+xtwGQ==",2,"Closed","Updated"
3194012,"/1omwhnsA8/ensfKdp5oVw==",2,"Closed","Updated"
3194021,"/1omwhnsA8/ensfKdp5oVw==",2,"Closed","Updated"
3201730,"/B3q0pPOlxSUvdbMK6GmsQ==",3,"Unassigned","Not updated"
3201749,"/B3q0pPOlxSUvdbMK6GmsQ==",3,"Unassigned","Not updated"
3201754,"/B3q0pPOlxSUvdbMK6GmsQ==",3,"Unassigned","Not updated"
3202961,"/LwYr236OKz0UwtXCMBI3g==",2,"Open","Updated"
3203006,"/LwYr236OKz0UwtXCMBI3g==",2,"Unassigned","Not updated"
3197342,"/M0IEeC0Xt0HY7grn4yr+w==",3,"Closed","Updated"
3197357,"/M0IEeC0Xt0HY7grn4yr+w==",3,"Closed","Updated"
3197364,"/M0IEeC0Xt0HY7grn4yr+w==",3,"Closed","Updated"
3197848,"/VKPc0d4erhH6yclZqBWUg==",2,"Closed","Updated"
3198022,"/VKPc0d4erhH6yclZqBWUg==",2,"Closed","Updated"
3196866,"/f4CA/+hw5aSvIZxtqHWLA==",12,"Closed","Updated"
3196876,"/f4CA/+hw5aSvIZxtqHWLA==",12,"Closed","Updated"
3197056,"/f4CA/+hw5aSvIZxtqHWLA==",12,"Closed","Updated"
3197150,"/f4CA/+hw5aSvIZxtqHWLA==",12,"Closed","Updated"
3197206,"/f4CA/+hw5aSvIZxtqHWLA==",12,"Closed","Updated"
3197298,"/f4CA/+hw5aSvIZxtqHWLA==",12,"Closed","Updated"
3197340,"/f4CA/+hw5aSvIZxtqHWLA==",12,"Closed","Updated"
3197490,"/f4CA/+hw5aSvIZxtqHWLA==",12,"Closed","Updated"
3197526,"/f4CA/+hw5aSvIZxtqHWLA==",12,"Closed","Updated"
3197679,"/f4CA/+hw5aSvIZxtqHWLA==",12,"Closed","Updated"
3197713,"/f4CA/+hw5aSvIZxtqHWLA==",12,"Closed","Updated"
3197750,"/f4CA/+hw5aSvIZxtqHWLA==",12,"Closed","Updated"
3204857,"/r6y3RQ8/izaHnmTRIRmLg==",2,"Closed","Updated"
3204873,"/r6y3RQ8/izaHnmTRIRmLg==",2,"Closed","Updated"
3197817,"/uVOof4PJwUf7GfUhUm5kQ==",4,"Closed","Updated"
3197850,"/uVOof4PJwUf7GfUhUm5kQ==",4,"Closed","Updated"
3197877,"/uVOof4PJwUf7GfUhUm5kQ==",4,"Closed","Updated"
3197886,"/uVOof4PJwUf7GfUhUm5kQ==",4,"Closed","Updated"
3202714,"/xYBp/k4iVmA4wD7Y+S6TQ==",2,"Unassigned","Not updated"
3202724,"/xYBp/k4iVmA4wD7Y+S6TQ==",2,"Unassigned","Not updated"
3197347,"00jOj9jUzqKAbwQs0JwSTg==",2,"Closed","Updated"
3197398,"00jOj9jUzqKAbwQs0JwSTg==",2,"Closed","Updated"
3194660,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194670,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194673,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194674,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194676,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194677,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194680,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194683,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194686,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194688,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194691,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194694,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194699,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194703,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194705,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194708,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194713,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194715,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194716,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194717,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194719,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194725,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194730,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194733,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194734,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194736,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194738,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194743,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194747,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194749,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194750,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194754,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194758,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194759,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194760,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194762,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194763,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194765,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194767,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194768,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194770,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194774,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194779,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
